,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
10,"frozenset({'NON-ALCOHOL', 'KEGS'})",frozenset({'BEER'}),0.017429193899782137,0.2570806100217865,0.017429193899782137,1.0,3.889830508474576,1.0,0.012948486099838145,inf,0.7560975609756098,0.06779661016949153,1.0,0.5338983050847458
15,"frozenset({'KEGS', 'WINE'})",frozenset({'BEER'}),0.0196078431372549,0.2570806100217865,0.0196078431372549,1.0,3.889830508474576,1.0,0.014567046862317912,inf,0.7577777777777778,0.07627118644067796,1.0,0.538135593220339
5,"frozenset({'KEGS', 'LIQUOR'})",frozenset({'BEER'}),0.02178649237472767,0.2570806100217865,0.02178649237472767,1.0,3.889830508474576,1.0,0.01618560762479768,inf,0.7594654788418708,0.0847457627118644,1.0,0.5423728813559322
42,"frozenset({'NON-ALCOHOL', 'KEGS', 'LIQUOR'})",frozenset({'BEER'}),0.010893246187363835,0.2570806100217865,0.010893246187363835,1.0,3.889830508474576,1.0,0.00809280381239884,inf,0.751101321585903,0.0423728813559322,1.0,0.521186440677966
54,"frozenset({'KEGS', 'LIQUOR', 'WINE'})",frozenset({'BEER'}),0.015250544662309368,0.2570806100217865,0.015250544662309368,1.0,3.889830508474576,1.0,0.011329925337358375,inf,0.754424778761062,0.05932203389830508,1.0,0.5296610169491526
49,frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'KEGS', 'LIQUOR'})",0.2570806100217865,0.010893246187363835,0.010893246187363835,0.0423728813559322,3.8898305084745757,1.0,0.00809280381239884,1.032872539379567,1.0,0.0423728813559322,0.03182632718584335,0.521186440677966
59,frozenset({'BEER'}),"frozenset({'KEGS', 'LIQUOR', 'WINE'})",0.2570806100217865,0.015250544662309368,0.015250544662309368,0.05932203389830508,3.8898305084745757,1.0,0.011329925337358375,1.0468507723409683,0.9999999999999999,0.05932203389830508,0.044754012299385026,0.5296610169491526
16,frozenset({'BEER'}),"frozenset({'KEGS', 'WINE'})",0.2570806100217865,0.0196078431372549,0.0196078431372549,0.07627118644067796,3.8898305084745757,1.0,0.014567046862317912,1.0613419679798524,1.0,0.07627118644067796,0.057796610169491516,0.538135593220339
11,frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'KEGS'})",0.2570806100217865,0.017429193899782137,0.017429193899782137,0.06779661016949153,3.8898305084745757,1.0,0.012948486099838145,1.0540305010893247,1.0,0.06779661016949153,0.051260851591566764,0.5338983050847458
6,frozenset({'BEER'}),"frozenset({'KEGS', 'LIQUOR'})",0.2570806100217865,0.02178649237472767,0.02178649237472767,0.0847457627118644,3.8898305084745757,1.0,0.01618560762479768,1.0687888324053902,1.0,0.0847457627118644,0.06436148125778565,0.5423728813559322
